date,low_tp,high_tp,weather,wind
2016-01-01,4,11,多云/多云,东南风≤3级/南风≤3级
2016-01-02,7,15,多云/小雨,西南风≤3级/西南风≤3级
2016-01-03,7,16,多云/阴,西南风≤3级/东北风≤3级
2016-01-04,6,13,小雨/小到中雨,东北风3-4级/东北风4-5级
2016-01-05,6,8,阴/阴,东北风4-5级/东北风4-5级
2016-01-06,3,8,阴/多云,北风3-4级/北风3-4级
2016-01-07,-1,8,阴/阴,北风3-4级/北风3-4级
2016-01-08,-1,7,多云/晴,北风≤3级/东风≤3级
2016-01-09,3,9,多云/阴,东风≤3级/东风≤3级
2016-01-10,3,10,小雨/小雨,东风3-4级/东北风3-4级
2016-01-11,0,6,小雨/雨夹雪,东北风4-5级/东北风4-5级
2016-01-12,-2,4,阴/阴,东北风3-4级/东北风3-4级
2016-01-13,-3,5,多云/多云,西风3-4级/西风≤3级
2016-01-14,-2,8,多云/多云,西南风≤3级/南风≤3级
2016-01-15,-2,9,晴/晴,东南风≤3级/东南风≤3级
2016-01-16,3,11,多云/小雨,东风≤3级/东北风≤3级
2016-01-17,-1,8,阴/晴,北风4-5级/北风4-5级
2016-01-18,-4,5,晴/晴,北风4-5级/北风3-4级
2016-01-19,-4,4,晴/多云,东风3-4级/东北风3-4级
2016-01-20,0,4,雨夹雪/中到大雪,东风3-4级/东风3-4级
2016-01-21,-1,1,小雪/小雪,东风3-4级/东北风3-4级
2016-01-22,-5,2,小到中雪/小雪,东北风4-5级/东北风4-5级
2016-01-23,-9,0,阴/多云,西北风5-6级/西北风5-6级
2016-01-24,-8,-5,晴/晴,西北风5-6级/西北风5-6级
2016-01-25,-6,2,晴/晴,西南风3-4级/西风3-4级
2016-01-26,-2,6,晴/多云,南风3-4级/南风≤3级
2016-01-27,4,8,多云/小雨,东南风≤3级/东风≤3级
2016-01-28,3,6,小雨/小到中雨,东北风3-4级/东北风3-4级
2016-01-29,0,5,小雨/雨夹雪,东北风4-5级/东北风4-5级
2016-01-30,-1,4,雨夹雪/阴,东北风3-4级/东北风3-4级
2016-01-31,-3,4,雨夹雪/小雪,东北风3-4级/东北风4-5级
2016-02-01,-4,2,多云/多云,西北风3-4级/西北风3-4级
2016-02-02,-4,5,多云/多云,西北风≤3级/东风≤3级
2016-02-03,-3,7,晴/多云,东风≤3级/东风≤3级
2016-02-04,-1,7,阴/阴,东北风≤3级/北风≤3级
2016-02-05,-2,9,多云/阴,西北风3-4级/西北风3-4级
2016-02-06,-3,7,多云/晴,西北风3-4级/西风3-4级
2016-02-07,-2,11,多云/多云,西南风3-4级/西风3-4级
2016-02-08,3,15,晴/晴,西南风3-4级/西南风3-4级
2016-02-09,6,17,多云/多云,东南风3-4级/南风3-4级
2016-02-10,11,21,多云/阵雨,南风3-4级/南风3-4级
2016-02-11,11,20,雷阵雨/多云,南风≤3级/东南风≤3级
2016-02-12,6,16,雷阵雨/小到中雨,东南风3-4级/南风4-5级
2016-02-13,1,11,阵雨/阴,西北风5-6级/西北风5-6级
2016-02-14,-4,5,阴/多云,西北风4-5级/西北风3-4级
2016-02-15,-1,7,晴/晴,西风3-4级/西风3-4级
2016-02-16,1,10,多云/晴,西风3-4级/西风≤3级
2016-02-17,3,12,多云/多云,西南风≤3级/南风3-4级
2016-02-18,4,16,多云/多云,西南风3-4级/东风3-4级
2016-02-19,3,13,阴/多云,西北风3-4级/北风3-4级
2016-02-20,0,12,多云/多云,北风3-4级/东风3-4级
2016-02-21,5,11,阴/小雨,东风3-4级/东风3-4级
2016-02-22,4,8,小雨/阴,东风3-4级/东北风≤3级
2016-02-23,1,11,多云/阴,东北风4-5级/东北风3-4级
2016-02-24,1,10,晴/多云,东北风3-4级/南风≤3级
2016-02-25,3,13,多云/多云,南风≤3级/南风≤3级
2016-02-26,6,17,多云/多云,西南风3-4级/西南风≤3级
2016-02-27,8,19,晴/晴,西南风3-4级/西南风3-4级
